New_Cluster_ID,Old_Cluster_ID,Cluster_Size,TF_Name,Family,Subgroup,ROC_AUC,PR_AUC,MCC,GSM_ID
C016,10313,7,ZNF615,C2H2 Zinc Finger,ZNF,0.949710747025551,0.8934332105352558,0.7187833213603196,GSM5214514
C016,10313,7,ZNF649,C2H2 Zinc Finger,ZNF,0.9877069185730364,0.9757144607852248,0.9276314077539424,GSM2466622
C016,10313,7,ZNF793,C2H2 Zinc Finger,ZNF,0.9845213543518628,0.9398556927330136,0.8573368928717207,GSM2466666
C017,10314,7,ZFP37,C2H2 Zinc Finger,ZFP,0.9255574825909868,0.8254589195889244,0.6864773391825615,GSM2423377
C017,10314,7,ZNF146,C2H2 Zinc Finger,ZNF,0.9899884744771098,0.9681328761521067,0.921761763923524,GSM2423862
C017,10314,7,ZNF25,C2H2 Zinc Finger,ZNF,0.9430203497615262,0.8914985015885536,0.7208743360623636,GSM5215289
C017,10314,7,ZNF260,C2H2 Zinc Finger,ZNF,0.9734964775027002,0.8930010834729031,0.7832019447894353,GSM2026812
C017,10314,7,ZNF329,C2H2 Zinc Finger,ZNF,0.9634344481894392,0.8786299287837689,0.7470072002688994,GSM2026823
C017,10314,7,ZNF35,C2H2 Zinc Finger,ZNF,0.9165542919036016,0.7671187344704753,0.641810085286423,GSM2026761
C017,10314,7,ZNF569,C2H2 Zinc Finger,ZNF,0.9605084244753176,0.908100262593408,0.7777559388992793,GSM5213972
C018,10315,7,ZNF177,C2H2 Zinc Finger,ZNF,0.8980159643871365,0.7369647455167354,0.6279373732698174,GSM5374142
C018,10315,7,ZNF317,C2H2 Zinc Finger,ZNF,0.9323173045469412,0.8022260732172609,0.6618788494760273,GSM5213938
C018,10315,7,ZNF333,C2H2 Zinc Finger,ZNF,0.98367258834766,0.9810506334128888,0.8699056695913144,GSM5214755
C018,10315,7,ZNF557,C2H2 Zinc Finger,ZNF,0.948590333955611,0.895077063407953,0.718541778496236,GSM5214760
C018,10315,7,ZNF558,C2H2 Zinc Finger,ZNF,0.8958708589480875,0.727509413458167,0.602678639768883,GSM2423492
C018,10315,7,ZNF8,C2H2 Zinc Finger,ZNF,0.9330388737129648,0.7659613746083953,0.6818559061305388,GSM5331012
C018,10315,7,ZNF891,C2H2 Zinc Finger,ZNF,0.9747982619491,0.9649382237252512,0.8429506354664386,GSM5213974
C019,10316,7,ZNF253,C2H2 Zinc Finger,ZNF,0.8993283511493709,0.6503763573193334,0.6020458016684949,GSM5214373
C019,10316,7,ZNF486,C2H2 Zinc Finger,ZNF,0.8591228070175438,0.6904543458271073,0.4706787243316417,GSM2466573
C019,10316,7,ZNF506,C2H2 Zinc Finger,ZNF,0.9835730600966492,0.9302543334195812,0.856960464730283,GSM2466577
C019,10316,7,ZNF626,C2H2 Zinc Finger,ZNF,0.8022875816993463,0.3985556398137465,0.2818507401395428,GSM2466619
C019,10316,7,ZNF737,C2H2 Zinc Finger,ZNF,0.96453671263511,0.9363350057494256,0.7600251548325355,GSM5214797
C019,10316,7,ZNF90,C2H2 Zinc Finger,ZNF,0.952780487804878,0.8509740514524191,0.8613973647824799,GSM2466684
C019,10316,7,ZNF93,C2H2 Zinc Finger,ZNF,0.961942758260774,0.9079530061487736,0.8009576840975043,GSM2466685
C020,14,6,SMAD9,SMAD,SMAD,0.964978497057492,0.9427765087856608,0.7946376846170796,GSM5214199
C020,14,6,Smad1,SMAD,SMAD,0.9707529756868054,0.919473298554169,0.8115658872398687,GSM722425
C020,14,6,Smad2,SMAD,SMAD,0.9619991354622576,0.8830909448997651,0.745704916814857,GSM3533584
C020,14,6,Smad3,SMAD,SMAD,0.935734092190945,0.8501512236530601,0.7306407783248625,GSM2807310
C020,14,6,Smad4,SMAD,SMAD,0.9455390962418616,0.8377204667730921,0.7146053679484076,GSM2534492
C020,14,6,Smad5,SMAD,SMAD,0.9588054571690936,0.9426370466120896,0.8109490578980645,GSM2527374
C021,99,6,Prdm9,Unknown/Other,Unknown/Other,0.8310185185185185,0.5242698827268005,0,GSM2466446
C021,99,6,ZNF133,C2H2 Zinc Finger,ZNF,0.9533961146911846,0.8618263422346778,0.7471087114676769,GSM2466476
C021,99,6,ZNF169,C2H2 Zinc Finger,ZNF,0.9369642491142798,0.8378111189664003,0.6847095251243622,GSM5214930
C021,99,6,ZNF337,C2H2 Zinc Finger,ZNF,0.9534864165588616,0.8747634299050936,0.7605525856226993,GSM5214174
C021,99,6,ZNF343,C2H2 Zinc Finger,ZNF,0.9617125,0.9309582134931615,0.779109628913125,GSM5215269
C021,99,6,ZNF589,C2H2 Zinc Finger,ZNF,,,,GSM2563966
C022,118,6,ZNF212,C2H2 Zinc Finger,ZNF,0.90967385919697,0.7121525159789732,0.6048892114878136,GSM5213832
C022,118,6,ZNF282,C2H2 Zinc Finger,ZNF,0.9806461538461538,0.9712930950059548,0.8775071148176136,GSM2466516
C022,118,6,ZNF398,C2H2 Zinc Finger,ZNF,0.9555754999212724,0.9005735739317579,0.7762783104249478,GSM2827460
C022,118,6,ZNF746,C2H2 Zinc Finger,ZNF,0.9020928899082568,0.717083888700816,0.6906401938035179,GSM3402720
