TF_Name,GSM_ID,Cluster_ID,Cluster_Type,TF_Count_in_Cluster,Single_Test_ROC_AUC,MTL_Test_ROC_AUC,Delta_ROC_AUC,Single_F1
ZNF443,GSM2466561,182,MTL,7,0.9437581052487884,0.9729301754146472,0.029172070165858766,0.6694560669456067
ZNF444,GSM5215013,134,Single,1,0.9069463276836159,0.901957627118644,-0.004988700564971915,0.6615969581749049
ZNF445,GSM2466562,135,Single,1,0.9596601789631279,0.9634715597182084,0.0038113807550804735,0.7795823665893271
ZNF446,GSM5214566,24,Single,1,0.9792490555555555,0.977471611111111,-0.0017774444444444981,0.9288214702450408
ZNF449,GSM2026818,305,Single,1,0.9665970570978599,0.968293549084396,0.0016964919865360972,0.9032258064516129
ZNF44,GSM5215095,182,MTL,7,0.9643036666666667,0.9702603333333332,0.005956666666666499,0.8995412118335706
ZNF454,GSM2466564,252,Single,1,0.9173128560315189,0.881276819995483,-0.03603603603603589,0.7272727272727273
ZNF45,GSM2466565,152,MTL,2,0.9095184948979592,0.9153380102040816,0.005819515306122347,0.6779661016949152
ZNF462,GSM5214825,620,Single,1,0.9199757777777778,0.9157818888888888,-0.004193888888889052,0.8425249169435216
ZNF467,GSM2026821,132,Single,1,0.9873892222222223,0.9852853888888888,-0.002103833333333416,0.9493587635646169
ZNF468,GSM2466567,156,MTL,12,0.9907727272727272,0.9921668831168832,0.0013941558441559199,0.928763440860215
ZNF473,GSM2827562,302,Single,1,0.9590395993477754,0.9580802469135804,-0.0009593524341949822,0.8629003238575027
ZNF479,GSM2466568,165,MTL,30,0.981231,0.982818722222222,0.0015877222222220322,0.9246935201401051
ZNF480,GSM2466569,157,MTL,6,0.9606274007682458,0.9521332540698736,-0.008494146698372229,0.804920913884007
ZNF483,GSM5214170,324,Single,1,0.9596854444444446,0.958123222222222,-0.0015622222222225757,0.8302527348170502
ZNF484,GSM5214427,279,MTL,2,0.9732954204204205,0.973721096096096,0.0004256756756755298,0.8936616029334731
ZNF485,GSM5215420,231,Single,1,0.9770498888888888,0.9766866111111112,-0.00036327777777755976,0.9262747645339396
ZNF486,GSM2466573,165,MTL,30,0.8730755460078768,0.9827694235588972,0.10969387755102034,0.3548387096774194
ZNF487,GSM2466574,365,Single,1,0.9488879786562753,0.9552091751447452,0.00632119648846996,0.8307692307692308
ZNF488,GSM2423376,460,Single,1,0.9500720353380903,0.949029901461094,-0.001042133876996254,0.8193146417445483
ZNF48,GSM2534006,340,Single,1,0.9778319999999999,0.978054111111111,0.0002221111111110341,0.9129232895646164
ZNF490,GSM2026888,180,Single,1,0.9891205312185297,0.9890264979859013,-9.403323262846541e-05,0.9501510574018127
ZNF491,GSM2828996,183,MTL,8,0.9016084213942357,0.9495466807293674,0.04793825933513174,0.7146814404432132
ZNF492,GSM2466575,165,MTL,30,0.8946155457783365,0.8686360779384035,-0.02597946783993299,0.6923076923076923
